sku,categories,name,description,short_description
234-400,,,,
234-5,,234 Series Stand Extensions,"<h1>234 Series Stand Extensions</h1>
<h2>When you need just a little more height</h2>
<div class=""tabs"" id=""content-container"">
</div><div class=""tab"" id=""copy"" style=""text-align: justify;"">
<p>The <strong>234 Series</strong> of stand extensions increase the effective stand height from 3"" (7.6 cm) to 48"" (122 cm), depending upon model (see table below). Although these tubes are not designed to provide a precision height standard, metric extension tubes are also available as a complement to an all-metric system. Made of your choice of heavy-walled steel or aluminum tubing with a standard 3½""-8 thread on each end (one internal on the bottom to fit the stand, and one external on the top to fit an instrument or adapter). Other lengths and thread specifications are available by special order.</p>
<p><strong>Note:</strong> Extension tubes are provided to increase versatility of measurement systems. Excessive stand height build-up using extension tubes is not recommended due to the possibility of decreased stability and accuracy.</p>
<p>Have a look at our range of <a href=""/product-category/all-products/3-d-measurement-products/metrology-3d-measurement-stands-mounts-accessories-for-metrology/metrology-stands-3d-measurement-adjustable-height-for-metrology/"">heavy duty</a> and <a href=""/product-category/all-products/3-d-measurement-products/metrology-3d-measurement-stands-mounts-accessories-for-metrology/metrology-3d-measurement-portable-stands-for-metrology/"">portable</a> stands.</p>
<h3>Specifications</h3>
<p>
<h4 style=""margin-bottom:-17px;"">Steel</h4>
<table style=""align: center;"" cellpadding=""2"" align=""center"">
<tbody>
<tr>
<td class=""row1"" style=""text-align: center;"" colspan=""3""><strong>English</strong></td>
<td class=""row1col2"" style=""text-align: center;"" colspan=""3""><strong>Metric</strong></td>
</tr>
<tr>
<td style=""text-align: center; line-height: normal; vertical-align: middle;""><strong>Model</strong></td>
<td style=""text-align: center; line-height: normal; vertical-align: middle;""><strong>Height</strong></td>
<td style=""text-align: center; line-height: normal; vertical-align: middle;""><b></b><b>Approx. Wt.</b></td>
<td class=""col2"" style=""text-align: center; line-height: normal; vertical-align: middle;""><strong>Model</strong></td>
<td class=""col2"" style=""text-align: center; line-height: normal; vertical-align: middle;""><strong>Height</strong></td>
<td class=""col2"" style=""text-align: center; line-height: normal; vertical-align: middle;""><b></b><b>Approx. Wt.</b></td>
</tr>
<tr>
<td style=""text-align: center;"">234-3</td>
<td style=""text-align: center;"">3''</td>
<td style=""text-align: center;"">5 lbs</td>
<td class=""col2"" style=""text-align: center;"">234-200</td>
<td class=""col2"" style=""text-align: center;"">200 mm</td>
<td class=""col2"" style=""text-align: center;"">4.5 kg</td>
</tr>
<tr>
<td style=""text-align: center;"">234-5</td>
<td style=""text-align: center;"">5''</td>
<td style=""text-align: center;"">7 lbs</td>
<td class=""col2"" style=""text-align: center;"">234-400</td>
<td class=""col2"" style=""text-align: center;"">400 mm</td>
<td class=""col2"" style=""text-align: center;"">8.1 kg</td>
</tr>
<tr>
<td style=""text-align: center;"">234-10</td>
<td style=""text-align: center;"">10''</td>
<td style=""text-align: center;"">12 lbs</td>
<td class=""col2"" style=""text-align: center;"">234-600</td>
<td class=""col2"" style=""text-align: center;"">600 mm</td>
<td class=""col2"" style=""text-align: center;"">11.6 kg</td>
</tr>
<tr>
<td style=""text-align: center;"">234-20</td>
<td style=""text-align: center;"">20''</td>
<td style=""text-align: center;"">22 lbs</td>
<td class=""col2"" style=""text-align: center;"">234-1000</td>
<td class=""col2"" style=""text-align: center;"">1000 mm</td>
<td class=""col2"" style=""text-align: center;"">18.8 kg</td>
</tr>
<tr>
<td style=""text-align: center;"">234-40</td>
<td style=""text-align: center;"">40''</td>
<td style=""text-align: center;"">42 lbs</td>
<td class=""col2""> </td>
<td class=""col2""> </td>
<td class=""col2""> </td>
</tr>
<tr>
<td style=""text-align: center;"">234-48</td>
<td style=""text-align: center;"">48''</td>
<td style=""text-align: center;"">50 lbs</td>
<td class=""col2""> </td>
<td class=""col2""> </td>
<td class=""col2""> </td>
</tr>
</tbody>
</table>
<h4 style=""margin-bottom:-17px;"">Aluminum</h4>
</p>
<table style=""align: center;"" cellpadding=""2"" align=""center"">
<tbody>
<tr>
<td class=""row1"" style=""text-align: center;"" colspan=""3""><strong>English</strong></td>
<td class=""row1col2"" style=""text-align: center;"" colspan=""3""><strong>Metric</strong></td>
</tr>
<tr>
<td style=""text-align: center; line-height: normal; vertical-align: middle;""><strong>Model</strong></td>
<td style=""text-align: center; line-height: normal; vertical-align: middle;""><strong>Height</strong></td>
<td style=""text-align: center; line-height: normal; vertical-align: middle;""><b></b><b>Approx. Wt.</b></td>
<td class=""col2"" style=""text-align: center; line-height: normal; vertical-align: middle;""><strong>Model</strong></td>
<td class=""col2"" style=""text-align: center; line-height: normal; vertical-align: middle;""><strong>Height</strong></td>
<td class=""col2"" style=""text-align: center; line-height: normal; vertical-align: middle;""><b></b><b>Approx. Wt.</b></td>
</tr>
<tr>
<td style=""text-align: center;"">234AL-3</td>
<td style=""text-align: center;"">3''</td>
<td style=""text-align: center;"">4 lbs</td>
<td class=""col2"" style=""text-align: center;"">234AL-200</td>
<td class=""col2"" style=""text-align: center;"">200 mm</td>
<td class=""col2"" style=""text-align: center;"">2.2<span class=""col2"" style=""text-align: center;""> kg</span></td>
</tr>
<tr>
<td style=""text-align: center;"">234AL-5</td>
<td style=""text-align: center;"">5''</td>
<td style=""text-align: center;"">4 lbs</td>
<td class=""col2"" style=""text-align: center;"">234AL-400</td>
<td class=""col2"" style=""text-align: center;"">400 mm</td>
<td class=""col2"" style=""text-align: center;"">3.1<span class=""col2"" style=""text-align: center;""> kg</span></td>
</tr>
<tr>
<td style=""text-align: center;"">234AL-10</td>
<td style=""text-align: center;"">10''</td>
<td style=""text-align: center;"">5 lbs</td>
<td class=""col2"" style=""text-align: center;"">234AL-600</td>
<td class=""col2"" style=""text-align: center;"">600 mm</td>
<td class=""col2"" style=""text-align: center;"">4.0<span class=""col2"" style=""text-align: center;""> kg</span></td>
</tr>
<tr>
<td style=""text-align: center;"">234AL-20</td>
<td style=""text-align: center;"">20''</td>
<td style=""text-align: center;"">8 lbs</td>
<td class=""col2"" style=""text-align: center;"">234AL-1000</td>
<td class=""col2"" style=""text-align: center;"">1000 mm</td>
<td class=""col2"" style=""text-align: center;"">5.9 kg</td>
</tr>
<tr>
<td style=""text-align: center;"">234AL-40</td>
<td style=""text-align: center;"">40''</td>
<td style=""text-align: center;"">13 lbs</td>
<td class=""col2""> </td>
<td class=""col2""> </td>
<td class=""col2""> </td>
</tr>
<tr>
<td style=""text-align: center;"">234AL-48</td>
<td style=""text-align: center;"">48''</td>
<td style=""text-align: center;"">15 lbs</td>
<td class=""col2""> </td>
<td class=""col2""> </td>
<td class=""col2""> </td>
</tr>
</tbody>
</table>
<p> </p>
</div>
<div class=""tabs"" id=""usedwith"">
<h4>May Be Used With</h4>
<p><a class=""thickbox"" title=""Fits on any product having an external 3½''-8 thread"" href=""#TB_inline?height=350&width=760&inlineId=popup1"">Fits on any product having an external 3½""-8 thread</a><br> <a class=""thickbox"" title=""Accepts any product having an internal 3½''-8 thread"" href=""#TB_inline?height=200&width=760&inlineId=popup2"">Accepts any product having an internal 3½""-8 thread</a></br></p>
<p> </p>
</div>
<div class=""tab"" id=""specs"">
<h4>Documents</h4>
</div>
<div class=""tab"" id=""pdf"">
<p><a href=""/pdf/234.pdf"">English (PDF)</a><br> <a href=""/pdf/german/234.pdf"">German (PDF)</a></br><br><a href=""/pdf/chinese/234.pdf"">Chinese (PDF)</a></br></p>
<p> </p>
</div>
<div class=""tab"" id=""downloads"">
<hr size=""1"">
<h4>3D Model Downloads</h4>
<p class=""floatleft"">Select a model:</p>
<select id=""preference"">
<option value=""select"">select</option>
<option value=""234-3"">234-3</option>
<option value=""234-5"">234-5</option>
<option value=""234-10"">234-10</option>
<option value=""234-20"">234-20</option>
<option value=""234-40"">234-40</option>
<option value=""234-48"">234-48</option>
<option value=""234-200"">234-200</option>
<option value=""234-400"">234-400</option>
<option value=""234-600"">234-600</option>
<option value=""234-1000"">234-1000</option>
</select>
</hr></div><div class=""result"" model-name=""234-3""><strong>234-3</strong><br><img alt=""sw"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-sw.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-3.sldprt"">3D Solidworks</a></img></br><br> <img alt=""igs"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-igs.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-3.igs"">3D IGES</a></img></br><br> <img alt=""stp"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-stp.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-3.stp"">3D STEP</a></img></br><br> <img alt=""jpg"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-jpg.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-3.jpg"">2D JPG</a></img></br></div>
<div class=""result"" model-name=""234-5""><strong>234-5</strong><br><img alt=""sw"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-sw.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-5.sldprt"">3D Solidworks</a></img></br><br> <img alt=""igs"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-igs.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-5.igs"">3D IGES</a></img></br><br> <img alt=""stp"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-stp.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-5.stp"">3D STEP</a></img></br><br> <img alt=""jpg"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-jpg.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-5.jpg"">2D JPG</a></img></br></div>
<div class=""result"" model-name=""234-10""><strong>234-10</strong><br><img alt=""sw"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-sw.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-10.sldprt"">3D Solidworks</a></img></br><br> <img alt=""igs"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-igs.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-10.igs"">3D IGES</a></img></br><br> <img alt=""stp"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-stp.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-10.stp"">3D STEP</a></img></br><br> <img alt=""jpg"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-jpg.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-10.jpg"">2D JPG</a></img></br></div>
<div class=""result"" model-name=""234-20""><strong>234-20</strong><br><img alt=""sw"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-sw.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-20.sldprt"">3D Solidworks</a></img></br><br> <img alt=""igs"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-igs.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-20.igs"">3D IGES</a></img></br><br> <img alt=""stp"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-stp.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-20.stp"">3D STEP</a></img></br><br> <img alt=""jpg"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-jpg.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-20.jpg"">2D JPG</a></img></br></div>
<div class=""result"" model-name=""234-40""><strong>234-40</strong><br><img alt=""sw"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-sw.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-40.sldprt"">3D Solidworks</a></img></br><br> <img alt=""igs"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-igs.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-40.igs"">3D IGES</a></img></br><br> <img alt=""stp"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-stp.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-40.stp"">3D STEP</a></img></br><br> <img alt=""jpg"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-jpg.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-40.jpg"">2D JPG</a></img></br></div>
<div class=""result"" model-name=""234-48""><strong>234-48</strong><br><img alt=""sw"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-sw.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-48.sldprt"">3D Solidworks</a></img></br><br> <img alt=""igs"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-igs.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-48.igs"">3D IGES</a></img></br><br> <img alt=""stp"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-stp.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-48.stp"">3D STEP</a></img></br><br> <img alt=""jpg"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-jpg.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-48.jpg"">2D JPG</a></img></br></div>
<div class=""result"" model-name=""234-200""><strong>234-200</strong><br><img alt=""sw"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-sw.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-200.sldprt"">3D Solidworks</a></img></br><br> <img alt=""igs"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-igs.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-200.igs"">3D IGES</a></img></br><br> <img alt=""stp"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-stp.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-200.stp"">3D STEP</a></img></br><br> <img alt=""jpg"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-jpg.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-200.jpg"">2D JPG</a></img></br></div>
<div class=""result"" model-name=""234-400""><strong>234-400</strong><br><img alt=""sw"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-sw.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-400.sldprt"">3D Solidworks</a></img></br><br> <img alt=""igs"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-igs.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-400.igs"">3D IGES</a></img></br><br> <img alt=""stp"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-stp.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-400.stp"">3D STEP</a></img></br><br> <img alt=""jpg"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-jpg.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-400.jpg"">2D JPG</a></img></br></div>
<div class=""result"" model-name=""234-600""><strong>234-600</strong><br><img alt=""sw"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-sw.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-600.sldprt"">3D Solidworks</a></img></br><br> <img alt=""igs"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-igs.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-600.igs"">3D IGES</a></img></br><br> <img alt=""stp"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-stp.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-600.stp"">3D STEP</a></img></br><br> <img alt=""jpg"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-jpg.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-600.jpg"">2D JPG</a></img></br></div>
<div class=""result"" model-name=""234-1000""><strong>234-1000</strong><br><img alt=""sw"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-sw.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-1000.sldprt"">3D Solidworks</a></img></br><br> <img alt=""igs"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-igs.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-1000.igs"">3D IGES</a></img></br><br> <img alt=""stp"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-stp.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-1000.stp"">3D STEP</a></img></br><br> <img alt=""jpg"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-jpg.gif"" width=""16"" height=""16""> <a href=""http://www.brunson.us/models/234-1000.jpg"">2D JPG</a></img></br></div>
<p><script type=""text/javascript"" src=""{{store url=""""}}wp-content/model-dl-selector.js""></script><br>
[php function=1][php function=2]


</br></p>",INSTRUMENT STAND EXTENSION
234-5,,,,
234AL-200MM,"All Products Products,All Products Products Optical Tooling Products,All Products Products Optical Tooling Products Stands &amp; Accessories,All Products Products Optical Tooling Products Stands &amp; Accessories Stand Accessories,All Products Products 3D Metrology Products,All Products Products 3D Metrology Products Stands &amp; Accessories,All Products Products 3D Metrology Products Stands &amp; Accessories Accessories For Metrology Stands",200MM ALUMINUM STAND EXTENSION,"<h2>Height Without Weight</h2>
<div class=""tabs"">
</div><div class=""tab"" id=""copy"">The <strong>234CF</strong> Series of stand extensions increase the effective stand height without adding a lot of extra weight. Available in several standard sizes (see table below). These extensions are made of carbon fiber tubing with a standard 3½""-8 thread on each end (one internal thread on the bottom to fit the stand, and one external thread on the top to fit an instrument or adapter). The 234CF extensions are intended for use with indoor GPS transmitters, laser projectors, cameras, etc. You can also order this series in any custom length up to 62"" (1575mm) in effective height, with no minimum order quantity. For a heavy duty alternative, see our 234 Series stand extensions.</div>
<div class=""tab""> </div>
<div class=""tab""><em><strong>Note</strong>: Extension tubes are provided to increase versatility of measurement systems. Excessive stand height build-up using extension tubes is not recommended due to the possibility of decreased stability and accuracy.</em></div>
<div class=""tab""> </div>
<div class=""tab"">You can view a range of our heavy duty and portable stands on this website.</div>
<div class=""tab"" id=""copy"">
<table style=""margin-left: auto; margin-right: auto;"">
<tbody>
<tr>
<td class=""row1"" width=""100px"">Model</td>
<td class=""row1"" width=""125px"">Effective Height</td>
<td class=""row1"" width=""150px"">Approximate Weight</td>
</tr>
<tr>
<td>234CF-20IN</td>
<td>20"" (50.8 cm)</td>
<td>5.7 lbs (2.6 kg)</td>
</tr>
<tr>
<td>234CF-40IN</td>
<td>40"" (101.6 cm)</td>
<td>6.5 lbs (2.9 kg)</td>
</tr>
<tr>
<td>234CF-60IN</td>
<td>60"" (152.4 cm)</td>
<td>7.3 lbs (3.3 kg)</td>
</tr>
<tr>
<td colspan=""3"" align=""center"">Custom lengths are available up to 62"" (157.5 cm)</td>
</tr>
</tbody>
</table>
</div>
<div class=""tabs"" id=""usedwith"">
<h4>May Be Used With</h4>
<p><a class=""thickbox"" title=""Fits on any product having an external 3½''-8 thread"" href=""#TB_inline?height=350&width=760&inlineId=popup1"">Fits on any product having an external 3½""-8 thread<br> </br></a><a class=""thickbox"" title=""Any product having an internal 3½''-8 thread"" href=""#TB_inline?height=200&width=760&inlineId=popup2"">Any product having an internal 3½""-8 thread</a></p>
</div>",200MM ALUMINUM STAND EXTENSION
234AL-200MM,,,,
234AL-400MM,,400MM ALUM STAND EXTENSION,400MM ALUM STAND EXTENSION,400MM ALUM STAND EXTENSION
234AL-400MM,,,,
234CF-1000MM-SS,"All Products Products,All Products Products Optical Tooling Products,All Products Products Optical Tooling Products Stands &amp; Accessories,All Products Products Optical Tooling Products Stands &amp; Accessories Stand Accessories,All Products Products 3D Metrology Products,All Products Products 3D Metrology Products Stands &amp; Accessories,All Products Products 3D Metrology Products Stands &amp; Accessories Accessories For Metrology Stands",1000 mm CARBON FIBER EXT. TUBE,"<h2>Height Without Weight</h2>
<div class=""tabs"">
</div><div class=""tab"" id=""copy"">The <strong>234CF</strong> Series of stand extensions increase the effective stand height without adding a lot of extra weight. Available in several standard sizes (see table below). These extensions are made of carbon fiber tubing with a standard 3½""-8 thread on each end (one internal thread on the bottom to fit the stand, and one external thread on the top to fit an instrument or adapter). The 234CF extensions are intended for use with indoor GPS transmitters, laser projectors, cameras, etc. You can also order this series in any custom length up to 62"" (1575mm) in effective height, with no minimum order quantity. For a heavy duty alternative, see our 234 Series stand extensions.</div>
<div class=""tab""> </div>
<div class=""tab""><em><strong>Note</strong>: Extension tubes are provided to increase versatility of measurement systems. Excessive stand height build-up using extension tubes is not recommended due to the possibility of decreased stability and accuracy.</em></div>
<div class=""tab""> </div>
<div class=""tab"">You can view a range of our heavy duty and portable stands on this website.</div>
<div class=""tab"" id=""copy"">
<table style=""margin-left: auto; margin-right: auto;"">
<tbody>
<tr>
<td class=""row1"" width=""100px"">Model</td>
<td class=""row1"" width=""125px"">Effective Height</td>
<td class=""row1"" width=""150px"">Approximate Weight</td>
</tr>
<tr>
<td>234CF-20IN</td>
<td>20"" (50.8 cm)</td>
<td>5.7 lbs (2.6 kg)</td>
</tr>
<tr>
<td>234CF-40IN</td>
<td>40"" (101.6 cm)</td>
<td>6.5 lbs (2.9 kg)</td>
</tr>
<tr>
<td>234CF-60IN</td>
<td>60"" (152.4 cm)</td>
<td>7.3 lbs (3.3 kg)</td>
</tr>
<tr>
<td colspan=""3"" align=""center"">Custom lengths are available up to 62"" (157.5 cm)</td>
</tr>
</tbody>
</table>
</div>
<div class=""tabs"" id=""usedwith"">
<h4>May Be Used With</h4>
<p><a class=""thickbox"" title=""Fits on any product having an external 3½''-8 thread"" href=""#TB_inline?height=350&width=760&inlineId=popup1"">Fits on any product having an external 3½""-8 thread<br> </br></a><a class=""thickbox"" title=""Any product having an internal 3½''-8 thread"" href=""#TB_inline?height=200&width=760&inlineId=popup2"">Any product having an internal 3½""-8 thread</a></p>
</div>",1000 mm CARBON FIBER EXT. TUBE
234CF-1000MM-SS,,,,
234CF-500MM-SS,"All Products Products,All Products Products Optical Tooling Products,All Products Products Optical Tooling Products Stands &amp; Accessories,All Products Products Optical Tooling Products Stands &amp; Accessories Stand Accessories,All Products Products 3D Metrology Products,All Products Products 3D Metrology Products Stands &amp; Accessories,All Products Products 3D Metrology Products Stands &amp; Accessories Accessories For Metrology Stands",500 mm CARBON FIBER EXT. TUBE,"<h2>Height Without Weight</h2>
<div class=""tabs"">
</div><div class=""tab"" id=""copy"">The <strong>234CF</strong> Series of stand extensions increase the effective stand height without adding a lot of extra weight. Available in several standard sizes (see table below). These extensions are made of carbon fiber tubing with a standard 3½""-8 thread on each end (one internal thread on the bottom to fit the stand, and one external thread on the top to fit an instrument or adapter). The 234CF extensions are intended for use with indoor GPS transmitters, laser projectors, cameras, etc. You can also order this series in any custom length up to 62"" (1575mm) in effective height, with no minimum order quantity. For a heavy duty alternative, see our 234 Series stand extensions.</div>
<div class=""tab""> </div>
<div class=""tab""><em><strong>Note</strong>: Extension tubes are provided to increase versatility of measurement systems. Excessive stand height build-up using extension tubes is not recommended due to the possibility of decreased stability and accuracy.</em></div>
<div class=""tab""> </div>
<div class=""tab"">You can view a range of our heavy duty and portable stands on this website.</div>
<div class=""tab"" id=""copy"">
<table style=""margin-left: auto; margin-right: auto;"">
<tbody>
<tr>
<td class=""row1"" width=""100px"">Model</td>
<td class=""row1"" width=""125px"">Effective Height</td>
<td class=""row1"" width=""150px"">Approximate Weight</td>
</tr>
<tr>
<td>234CF-20IN</td>
<td>20"" (50.8 cm)</td>
<td>5.7 lbs (2.6 kg)</td>
</tr>
<tr>
<td>234CF-40IN</td>
<td>40"" (101.6 cm)</td>
<td>6.5 lbs (2.9 kg)</td>
</tr>
<tr>
<td>234CF-60IN</td>
<td>60"" (152.4 cm)</td>
<td>7.3 lbs (3.3 kg)</td>
</tr>
<tr>
<td colspan=""3"" align=""center"">Custom lengths are available up to 62"" (157.5 cm)</td>
</tr>
</tbody>
</table>
</div>
<div class=""tabs"" id=""usedwith"">
<h4>May Be Used With</h4>
<p><a class=""thickbox"" title=""Fits on any product having an external 3½''-8 thread"" href=""#TB_inline?height=350&width=760&inlineId=popup1"">Fits on any product having an external 3½""-8 thread<br> </br></a><a class=""thickbox"" title=""Any product having an internal 3½''-8 thread"" href=""#TB_inline?height=200&width=760&inlineId=popup2"">Any product having an internal 3½""-8 thread</a></p>
</div>",500 mm CARBON FIBER EXT. TUBE
234CF-500MM-SS,,,,
235-18,"All Products Products,All Products Products Optical Tooling Products,All Products Products Optical Tooling Products Stands &amp; Accessories,All Products Products Optical Tooling Products Stands &amp; Accessories Instrument Adapters,All Products Products 3D Metrology Products,All Products Products 3D Metrology Products Stands &amp; Accessories,All Products Products 3D Metrology Products Stands &amp; Accessories Instrument Adapters",235-18 Surface Mount Adapter,"<h2>Put an instrument mount anywhere!</h2>
<div class=""tabs""></div>
<div id=""copy"" class=""tab"">The <strong>235-18</strong> allows you the flexibility of having an instrument mount anywhere you want one! This adapter provides a 3&frac12;""-8 external thread as a mount for many instruments and other adapters. The 235-18 is configured to mount on any flat surface. A flange with six countersunk bolt holes is provided for secure mounting. You may also be interested in our 5146, which does not have the flange, or the 235-6, which has the same functionality but also has internal threads to accommodate other products such as our model 800 precision lift.</div>
<div class=""tab"" style=""text-align: left;"">Be sure to have a look at all of our instrument adapters&nbsp;for&nbsp;3D&nbsp;or&nbsp;alignment&nbsp;instruments.</div>
<h3 class=""tab"" style=""text-align: left;""><span style=""font-size: 1em;""><br />May Be Used With</span></h3>
<div>
<p>Fits on any&nbsp;customer-supplied surface with a matching bolt-hole pattern</p>
Accepts any product having an internal 3&frac12;""-8 thread
<p>&nbsp;</p>
</div>",<strong>Ships in 2 Weeks</strong>
235-18,,,,
235-23,"All Products Products,All Products Products Optical Tooling Products,All Products Products Optical Tooling Products Stands &amp; Accessories,All Products Products Optical Tooling Products Stands &amp; Accessories Instrument Adapters,All Products Products Optical Tooling Products Optical Instruments &amp; Accessories,All Products Products 3D Metrology Products,All Products Products 3D Metrology Products Stands &amp; Accessories,All Products Products 3D Metrology Products Stands &amp; Accessories Instrument Adapters",235-23 Surface Mount Adapter,"<h2>Put an instrument mount anywhere!</h2>
<div class=""tabs"">
</div><div class=""tab"" id=""copy"">The <strong>235-23</strong> allows you the flexibility of having an instrument mount anywhere you want one! This adapter provides a 5/8""-11 external thread as a mount for theodolites and other instruments that require this thread configuration. The 235-23 is configured to mount on any flat surface. A plate with six countersunk bolt holes is provided for secure mounting.</div>
<div class=""tab""> </div>
<div class=""tab"" style=""text-align: left;"">Be sure to have a look at all of our instrument adapters for 3D or alignment instruments.</div>
<div class=""tabs"" id=""usedwith"">
<h4>May Be Used With</h4>
<p>Fits onto any customer-supplied surface with a matching bolt-hole pattern<br> Accepts theodolites or total stations requiring a 5/8""-­11 mount</br><br> Works perfectly with any TetraLock„¢ or fixed height M-Series stand</br></p>
</div>",<strong>Ships in 2 Weeks</strong>
235-23,,,,
